Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.131807	98.4259	81.3742	43.6401	83.3013	70.6762	24.748	47.4212	45.9289	45.9423	12.9797	85.1337	35.0611	99.7581	0.420699	0.00257595	0.00200017	0.0634506	0.101369	0.512821	0.0254998	0.455757	0.281072	0.813115	0.00140501	0.0171073	0.0189898	6.65216	7.63437	5.82453	8.35093	8.28524	8.2566	4.54088	3.72052	8.31201	2.15346	4.12552	2.9999	5.75396	8.096	0.00903532	0.00379507	0.0841342	0.00247101	0.0131918	0.00236886	0.00522074	6.78118	38.137
0.13768	999.079	72.3606	75.2867	16.1195	99.1337	41.671	79.2947	50.9345	45.0229	16.4393	64.8264	45.7841	40.5579	0.0738159	0.0121072	0.00438055	0.00851262	0.250952	0.237107	0.594773	0.00183229	0.0365086	0.547113	0.879261	0.00748907	0.913339	1.87226	4.82529	8.38883	6.64791	6.68029	8.03074	9.90006	6.32014	6.74888	1.64425	1.50642	9.22288	7.63366	6.11151	0.0442228	0.274747	0.00445308	0.0363243	0.0331482	0.79773	0.0446025	822.143	21.9923
0.145458	615.295	97.0291	97.7598	10.9372	9.66717	48.6377	46.8463	78.8672	44.3802	65.9788	88.2123	12.7727	93.3599	0.00306144	0.00809367	0.0357375	0.339873	0.208884	0.127437	0.0074412	0.00107955	0.242051	0.0478958	0.011987	0.0696704	0.00138996	5.97905	3.39566	5.2109	6.80714	6.3593	5.77667	9.06756	5.23935	7.94116	1.41123	8.69165	1.77872	2.4963	8.98862	0.835132	0.164818	0.00885604	0.0778301	0.103396	0.00290689	0.00516907	2.98721	15.3308
0.147659	747.914	8.8014	36.6497	86.8831	54.6715	81.6095	60.5655	14.0219	12.4617	38.4721	16.1991	27.1698	81.8684	0.088059	0.0208177	0.00853696	0.0092106	0.724367	0.151659	0.822735	0.00190785	0.155188	0.00609227	0.00929219	0.00327811	0.00139601	8.98138	9.60523	5.16192	4.54639	9.5944	3.27005	3.19669	7.21835	5.5	2.23545	6.39918	1.35528	5.37949	4.32901	0.00301474	0.771655	0.0245836	0.416049	0.00503007	0.00200788	0.0105656	1.27989	2.1942
0.147686	1093.51	9.62871	89.7519	34.624	78.613	72.3612	55.0719	23.4053	58.8033	23.8269	25.6339	71.6381	62.8553	0.763043	0.0115092	0.0171047	0.00325057	0.0605596	0.00829309	0.00111835	0.229282	0.0078528	0.00489317	0.00643144	0.0496218	0.17094	7.99129	5.61337	7.57455	6.11179	6.76826	1.34385	1.03342	5.2001	9.50289	1.22545	8.41324	1.32572	2.39772	3.21644	0.0977344	0.00109739	0.0231814	0.49189	0.0893343	0.324555	0.504105	8.40696	233.092
0.149336	724.199	51.0144	58.1873	79.4162	7.05468	99.8092	73.0648	12.2618	16.5718	84.6509	64.132	18.551	99.8171	0.438516	0.0196086	0.0840541	0.272208	0.610732	0.121675	0.00197598	0.0103435	0.012516	0.00501931	0.00131657	0.0975311	0.00102986	2.53128	2.36237	9.15447	9.5322	6.6302	1.63862	7.85575	5.21198	2.32268	8.40966	7.04843	9.8536	1.70552	3.29407	0.00515983	0.420753	0.0447951	0.0375176	0.0778687	0.192653	0.00460626	12.3226	1.27801
0.153861	232.092	71.3119	49.068	15.8102	56.6392	83.1701	15.6956	83.9976	16.2092	17.0067	24.9371	6.56796	43.3931	0.342852	0.00851436	0.00520216	0.134049	0.677384	0.00442194	0.157466	0.199204	0.0924951	0.282843	0.00677542	0.0143747	0.0475451	5.27176	6.7746	9.1373	2.43004	8.90269	5.09643	1.9787	6.29653	1.7201	4.76845	4.82653	2.06151	2.66542	5.44021	0.00156838	0.383238	0.0532167	0.474223	0.00122553	0.0561003	0.422704	17.2507	6.32181
0.166782	1662.61	8.36066	62.0572	62.8423	21.1592	70.7163	63.3358	17.4668	26.4405	41.7571	85.9201	59.0955	9.70918	0.00156439	0.00449917	0.00736712	0.00248951	0.13845	0.65851	0.0107598	0.113895	0.0894918	0.00146089	0.0614831	0.00204396	0.825278	8.27055	7.22472	5.28585	7.51998	2.00802	3.8846	9.12922	2.62812	6.60842	5.4745	2.70238	5.12508	7.59343	3.00554	0.0802797	0.0424354	0.0054055	0.046285	0.0074514	0.202952	0.820616	998.605	6.72229
0.167082	612.413	80.6808	44.5803	73.7694	11.1275	31.998	60.9078	21.866	70.8379	87.4498	24.2677	34.9661	79.7202	0.0225389	0.0365608	0.0132058	0.447645	0.120495	0.0191719	0.00227791	0.00106686	0.120543	0.00668008	0.0182489	0.19587	0.318456	6.82774	3.90349	2.49109	7.57089	2.46433	7.06444	8.39117	1.79003	8.85207	8.77275	4.61957	3.24347	1.34195	1.14571	0.00540722	0.00140442	0.873958	0.0119382	0.0359139	0.00187794	0.0175365	52.1026	2.18099
0.170309	701.539	39.606	45.5805	85.5118	6.15928	55.1109	71.3008	86.5185	81.2041	14.2436	70.2151	38.0218	77.8929	0.036664	0.00121579	0.0021399	0.463697	0.343544	0.45371	0.057411	0.100448	0.0267433	0.236597	0.00897041	0.00247608	0.00373046	7.24521	2.17933	7.39434	7.52167	2.84591	3.41872	5.44835	4.2599	6.38062	1.2512	6.24254	1.99097	2.35514	7.85496	0.00606696	0.486229	0.0331905	0.00943032	0.00192108	0.0311449	0.00343543	1.87318	9.24525
0.173556	627.272	99.3871	82.8101	12.7479	57.1084	12.2905	73.995	77.0842	49.6467	51.1712	49.2901	35.2984	48.4862	0.00908633	0.00505236	0.0638058	0.450667	0.122519	0.777098	0.0150108	0.08292	0.0860606	0.0810668	0.0533141	0.031406	0.204863	4.42242	5.37031	6.23029	9.69852	7.59084	5.09745	8.34094	9.60061	3.9497	8.44125	6.50408	3.60904	2.71458	2.52	0.00600079	0.00903635	0.344182	0.184554	0.436344	0.141785	0.499235	6.96826	3.4943
0.181076	673.383	55.9307	37.1601	91.4193	16.2748	12.0071	66.3203	28.9398	82.8379	63.6692	91.3568	73.2558	64.9569	0.0158552	0.0230131	0.00904125	0.178717	0.448434	0.300582	0.0165958	0.186637	0.0781508	0.0376182	0.0672812	0.00208986	0.00163126	7.50916	7.33423	4.9292	1.26794	7.21937	9.36695	5.6338	6.44349	9.63334	3.27011	6.99927	7.77613	2.51828	1.19445	0.00326279	0.0725178	0.0052791	0.67136	0.789269	0.00153182	0.212316	5.45426	942.133
0.192362	559.983	52.5496	95.4049	18.6755	94.9563	24.8915	22.762	86.2407	90.6352	65.2582	58.8892	14.8977	88.5972	0.00263686	0.0307263	0.00215499	0.0227239	0.321325	0.036865	0.0305562	0.448583	0.695685	0.0442036	0.00799326	0.00381709	0.00647256	9.67436	4.28927	8.31008	3.79248	2.52694	1.21188	2.2013	8.87949	5.82343	7.73783	4.58872	5.68457	7.78539	7.02739	0.00108762	0.0571675	0.00132064	0.0136791	0.118698	0.0659973	0.00493748	796.098	3.94002
0.194437	1163.83	74.0177	34.2036	93.2602	26.7332	20.9442	64.1923	51.4872	41.1246	45.3953	27.5945	57.9905	44.1293	0.015809	0.0181883	0.00100479	0.00398049	0.333645	0.00342623	0.29976	0.00487211	0.0136298	0.235816	0.00592744	0.00727686	0.017141	7.06774	6.50834	5.64282	4.04646	6.42634	2.5789	3.02183	6.34416	1.45263	8.99255	1.06375	4.39754	1.57052	7.55192	0.0293377	0.0102216	0.00274597	0.00176843	0.10403	0.00677304	0.0515669	807.193	1.62091
