Score	CPUt	H_en	H_EN	H_wg	H_IWG	H_EWG	H_ptc	H_PTC	H_ci	H_CI	H_hh	H_HH	H_PH	kappa_WGen	kappa_CNen	kappa_CNwg	kappa_CIwg	kappa_WGwg	kappa_CNptc	kappa_CIptc	kappa_Bci	kappa_ENci	kappa_ENhh	kappa_CNhh	kappa_PTCCI	kappa_PTCHH	nu_CNen	nu_CNwg	nu_CIwg	nu_WGwg	nu_WGen	nu_CNptc	nu_CIptc	nu_Bci	nu_ENci	nu_ENhh	nu_CNhh	nu_PTCCI	alpha_CIwg	alpha_WGwg	r_ExoWG	r_EndoWG	r_MxferWG	r_LMxferWG	r_LMxferPTC	r_LMxferHH	C_CI	PTC_0	HH_0
0.0682167	1970.59	36.4228	91.219	34.8499	42.8827	90.0556	73.1172	96.5616	40.5682	7.00914	53.7594	11.1537	48.24	0.372886	0.072836	0.0119682	0.164749	0.0189755	0.600239	0.0602716	0.0120496	0.00274716	0.00186259	0.00776271	0.00181328	0.0236919	5.16616	5.77037	8.66107	7.76427	7.11958	4.64429	4.15415	8.4828	4.7259	4.09287	4.56621	2.42696	6.54689	1.03607	0.0510268	0.0016767	0.00114558	0.00140973	0.0339418	0.018079	0.0447888	173.654	429.071
0.0695184	505.326	72.2442	84.4637	29.1854	19.1662	90.5875	33.5767	95.9701	28.1071	91.7233	38.0554	70.7963	54.294	0.0166566	0.304239	0.0123051	0.0718058	0.0640927	0.488838	0.00219556	0.0111852	0.0740204	0.214499	0.00202371	0.00274994	0.81058	5.22348	4.49795	1.07502	4.88918	2.20217	5.06258	5.24858	4.5776	9.89306	1.12727	1.14363	4.70169	3.77438	1.28616	0.00810132	0.719734	0.00112834	0.0125826	0.315804	0.029712	0.34433	1.92729	576.079
0.0706298	2196.05	26.0054	66.7345	44.3728	11.1214	39.3566	84.3404	6.1067	72.166	20.7671	56.753	82.185	98.0112	0.00203631	0.0332048	0.0107995	0.0315723	0.0276589	0.1144	0.0022417	0.057655	0.0179251	0.107274	0.279105	0.0139283	0.119671	4.11298	3.91319	4.59058	2.52977	9.033	4.47165	6.19681	4.75252	3.71728	4.57265	2.92387	8.8351	4.09829	1.0011	0.0815044	0.315565	0.00106237	0.00162933	0.811799	0.0563006	0.992907	610.672	29.758
0.0706718	803.732	21.0767	61.7613	77.4358	58.1275	53.5792	35.6367	53.1813	94.7006	53.6028	83.0391	83.4351	59.0091	0.117147	0.0252601	0.00135424	0.0102649	0.0862581	0.294197	0.943925	0.134391	0.00325231	0.971986	0.0216758	0.0241107	0.00129501	7.41377	9.07295	8.16389	7.94906	5.36883	9.47566	5.79513	5.46988	4.77548	2.18817	7.30595	4.99422	5.0791	6.03664	0.0238211	0.114742	0.0146395	0.00298672	0.783649	0.00191943	0.0456382	2.92879	76.7689
0.0713742	1183.98	56.6862	12.906	89.2942	92.1929	9.63977	38.921	77.4871	88.1166	26.0696	85.5214	36.1375	18.9362	0.026429	0.00580821	0.013269	0.514862	0.013397	0.104199	0.0105573	0.00525935	0.00402604	0.0668016	0.00280088	0.212636	0.00136133	5.67642	5.64588	1.87712	3.59967	3.0924	1.72375	5.94542	6.46171	5.93874	3.48302	2.08424	2.22732	9.8253	1.13034	0.222723	0.00176655	0.233512	0.00282821	0.816964	0.094589	0.00934254	72.1579	2.13728
0.0715332	1647.68	60.9445	71.0488	35.6092	16.1704	29.2933	23.9011	57.8061	34.4092	91.4639	54.721	99.6037	45.6102	0.00156684	0.0374411	0.00497542	0.0136479	0.028306	0.104757	0.0150062	0.00360318	0.0016086	0.238989	0.00113876	0.0150631	0.235854	5.78965	7.42981	4.16029	9.38811	2.53491	2.11546	5.0029	1.58832	1.75734	8.20703	4.98244	7.25386	2.7546	1.05656	0.00939703	0.00314211	0.218938	0.0294911	0.00914528	0.00112323	0.291808	108.944	1.10591
0.0716399	2144.4	97.2369	19.8019	5.3934	25.3521	26.7591	88.3634	15.0086	52.2138	7.52754	77.2674	87.9326	15.6775	0.0151285	0.234755	0.0015688	0.0233395	0.0401433	0.00404076	0.00160705	0.00242229	0.00120247	0.00471634	0.0287256	0.0288153	0.00373211	6.72742	3.46384	6.70452	3.74394	1.01627	1.14717	8.12454	2.69071	2.42425	4.95851	9.89038	7.14095	3.27969	1.23794	0.0184332	0.0293259	0.0330906	0.00320859	0.0384678	0.002123	0.430539	2.40398	132.263
0.0734496	342.876	99.1857	57.1951	51.0656	18.0493	66.7201	81.4226	56.5029	72.8317	97.8696	37.2464	90.5865	33.7436	0.00297101	0.0688998	0.00707496	0.0221915	0.0705822	0.0377483	0.00155221	0.162668	0.00253284	0.0455511	0.015391	0.0622045	0.00125596	7.69592	1.73528	8.50885	9.04916	1.14672	6.25638	9.92309	4.11188	2.863	5.16842	4.97589	6.95143	2.5883	3.57721	0.00111711	0.189867	0.00257572	0.00481147	0.176916	0.013783	0.54874	5.80336	491.18
0.0800779	900.284	41.0697	71.6148	98.9957	76.7846	28.7031	16.0785	83.6118	73.4525	65.2529	38.0719	25.6669	48.0539	0.673067	0.376181	0.00318799	0.00841564	0.00803003	0.854669	0.741056	0.849203	0.0648366	0.00894619	0.0125701	0.00548393	0.00366688	7.24513	2.9033	3.24599	4.10039	6.4571	5.79779	5.78019	6.25612	3.74886	6.02776	3.03674	9.95559	1.32843	2.68647	0.262481	0.0563156	0.0012063	0.0408957	0.853522	0.970771	0.107796	17.0347	40.9795
0.0826563	30.9492	49.5913	57.0953	34.5324	41.0265	33.8486	40.9056	24.1471	85.7825	24.1636	62.2573	18.1501	56.2446	0.0504524	0.0457041	0.00272699	0.00494779	0.349444	0.0857128	0.0231671	0.230348	0.00711759	0.591505	0.721039	0.00557776	0.00293422	9.94815	6.14651	3.132	1.55086	9.52286	5.06353	9.9033	5.32678	5.83619	5.45095	7.84915	7.9085	3.7598	1.59747	0.00204169	0.389352	0.146996	0.0200491	0.0153525	0.32172	0.911727	649.245	1.69431
